question_id,question,gold_section,gold_answer,category,confidence,verify_url,notes
q026,"Which section of the Collier County Code of Ordinances adopts the Florida Building Code and sets out the County's local additions to it?","Collier County Code Sec. 22-26","Section 22-26 (Chapter 22, Buildings and Building Regulations, Article II) adopts by reference the Florida Building Code, Eighth Edition (2023), and any amendments thereto, to be enforced in the unincorporated portions of Collier County, and contains the County's local additions, adjustments, amendments, and exemptions.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH22BUBURE_ARTIIFLBUCO_S22-26ADADFLBUCO,"Verified against Municode text 2026-07-09. Passage saved to data/corpus/collier_sec22-26_fbc_amendments.md."
q027,"Which administrative section of the Florida Building Code did Collier County amend to allow approved digital construction documents to be kept at the work site?","FBC 107.3.1 (Collier County Sec. 22-26)","Collier County amended FBC Section 107.3.1 (Approval of construction documents), based on FBC Section 107.3 and Section 553.74(4)(a) Florida Statutes, so that digital copies available at the site of work and open to inspection by the building official are also accepted.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH22BUBURE_ARTIIFLBUCO_S22-26ADADFLBUCO,"Verified against Municode text 2026-07-09. Note: a model citing 22-26 instead of 107.3.1 is also defensible — exact-match scoring will count only 107.3.1."
q028,"To which Florida Building Code section did Collier County add local exemptions relating to permits for minor residential repairs and replacements?","FBC 105.2 (Collier County Sec. 22-26)","Collier County added local permit exemptions under FBC 105.2 (Work exempt from permit), based on FBC Section 105.2.2 and Section 553.73(4)(a) Florida Statutes — e.g. flooring installation, painting/wallpaper, finish trim, interior door replacement, small drywall repair, gutters — plus a new Section 105.2.4 with exemptions for detached single-family residences.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH22BUBURE_ARTIIFLBUCO_S22-26ADADFLBUCO,"Verified against Municode text 2026-07-09."
q029,"Which prior ordinance did Collier County Ordinance 2023-64 repeal when it adopted the 2023 Florida Building Code?","Collier County Ordinance 2020-48","Ordinance 2023-64 (Section Three: Repeal) repealed Ordinance No. 2020-48 in its entirety. Ordinance 2020-48, adopted December 8, 2020, had adopted the Florida Building Code, Seventh Edition (2020). Ordinance 2023-64 was effective December 31, 2023.",jurisdiction_amendment,VERIFIED,https://www.collier.gov/files/assets/county/v/1/building-plan-review/documents/bulletins/building-codes/ordinance-202364.pdf,"Verified against the ordinance PDF (data/corpus/ordinance-202364.pdf): 'SECTION THREE: REPEAL. Ordinance No. 2020-48, is hereby repealed in its entirety.'"
q030,"Which section of Collier County's flood ordinance (Code of Ordinances Chapter 62, Floods) governs requirements for buildings and structures in flood hazard areas?","Collier County Code Sec. 62-80","Section 62-80 (Buildings and structures, Chapter 62 Article II Floodplain Management) governs buildings and structures in flood hazard areas: FBC-exempt buildings must follow ASCE 24 flood-resistant design, enclosed areas below elevated buildings are limited to parking/storage/building access, and detached accessory structures may sit below BFE only under specific conditions.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH62FL,"Verified against Ch. 62 PDF (data/corpus/collier_ch62.pdf) 2026-07-09."
q031,"Which Collier County Code section establishes the duties and powers of the county floodplain administrator?","Collier County Code Sec. 62-73","Section 62-73 (Chapter 62, Article II, Division 3) sets out the duties and powers of the Floodplain Administrator; it designates the County Manager or designee as the Floodplain Administrator, authorized to administer and enforce the flood ordinance.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/code_of_ordinances?nodeId=PTICO_CH62FL,"Verified against Ch. 62 PDF (data/corpus/collier_ch62.pdf) 2026-07-09."
q032,"Which Collier County Land Development Code section contains the dimensional standards table (Table 2.1) of minimum yard requirements for principal structures in base zoning districts?","Collier County LDC Sec. 4.02.01","LDC Section 4.02.01 (Dimensional Standards for Principal Uses in Base Zoning Districts) contains Table 2.1 - Table of Minimum Yard Requirements (Setbacks) for Base Zoning Districts, measured from the legal lot boundary except road right-of-way easements.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/land_development_code?nodeId=CH4SIDEDEST,"Verified against data/corpus/collier_ch4_4.02.01.pdf 2026-07-10."
q033,"Under footnote (e) of Table 2.1 in Collier County LDC 4.02.01, what is the side yard rule for the Industrial (I) zoning district, expressed as a percentage of lot width?","Collier County LDC Sec. 4.02.01","The total of all side yard setbacks shall equal 20% of the lot width, with a maximum of 50 feet, and no side yard shall be less than 10 feet (alternative dimensions possible under a unified plan of development for commonly owned lots).",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/land_development_code?nodeId=CH4SIDEDEST,"Verified against data/corpus/collier_ch4_4.02.01.pdf 2026-07-10. IMPORTANT correction from draft: the 20%/50ft/10ft rule is footnote (e) attached to the Industrial (I) district side yard, NOT a general rule."
q034,"Which Collier County LDC section sets the specific standards for the location of accessory buildings and structures, such as pools and screen enclosures?","Collier County LDC Sec. 4.02.03","LDC Section 4.02.03 (Specific Standards for Location of Accessory Buildings and Structures) governs accessory structure setbacks and building separation. Accessory structures must be built simultaneously with or after the principal structure; in Rural Agricultural (A) and Estates (E) districts they must meet principal structure setbacks; other districts follow the section's dimensional standards table.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/land_development_code?nodeId=CH4SIDEDEST,"Verified against data/corpus/collier_ch4_4.02.03.pdf 2026-07-10."
q035,"What is the minimum front yard setback for a principal structure in the Collier County Estates (E) zoning district?","Collier County LDC Sec. 4.02.01","75 feet. Table 2.1 of LDC 4.02.01 sets the Estates (E) district minimum yards at 75 ft front, 30 ft side, and 75 ft rear.",jurisdiction_amendment,VERIFIED,https://library.municode.com/fl/collier_county/codes/land_development_code?nodeId=CH4SIDEDEST,"Verified against data/corpus/collier_ch4_4.02.01.pdf 2026-07-10 (E row: 75/30/75). Re-anchored from 2.03.01 to 4.02.01 Table 2.1 where the values actually appear."
