question_id,category,router,strength,grounded,raw_model
q001,numeric,custom,cheap,True,cheap+grounded
q001,numeric,difficulty_baseline,strong,False,strong (difficulty=2.4)
q001,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q001,numeric,routellm,cheap,False,bert/win_rate=0.37
q002,numeric,custom,cheap,True,cheap+grounded
q002,numeric,difficulty_baseline,cheap,False,cheap (difficulty=1.0)
q002,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q002,numeric,routellm,cheap,False,bert/win_rate=0.44
q003,numeric,custom,cheap,True,cheap+grounded
q003,numeric,difficulty_baseline,strong,False,strong (difficulty=2.6)
q003,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q003,numeric,routellm,cheap,False,bert/win_rate=0.23
q004,numeric,custom,cheap,True,cheap+grounded
q004,numeric,difficulty_baseline,strong,False,strong (difficulty=5.1)
q004,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q004,numeric,routellm,cheap,False,bert/win_rate=0.43
q005,numeric,custom,cheap,True,cheap+grounded
q005,numeric,difficulty_baseline,strong,False,strong (difficulty=4.8)
q005,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q005,numeric,routellm,cheap,False,bert/win_rate=0.39
q006,numeric,custom,cheap,True,cheap+grounded
q006,numeric,difficulty_baseline,strong,False,strong (difficulty=2.6)
q006,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q006,numeric,routellm,cheap,False,bert/win_rate=0.42
q007,numeric,custom,cheap,True,cheap+grounded
q007,numeric,difficulty_baseline,strong,False,strong (difficulty=3.5)
q007,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q007,numeric,routellm,cheap,False,bert/win_rate=0.43
q008,numeric,custom,cheap,True,cheap+grounded
q008,numeric,difficulty_baseline,strong,False,strong (difficulty=3.2)
q008,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q008,numeric,routellm,strong,False,bert/win_rate=0.52
q009,numeric,custom,cheap,True,cheap+grounded
q009,numeric,difficulty_baseline,cheap,False,cheap (difficulty=1.8)
q009,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q009,numeric,routellm,cheap,False,bert/win_rate=0.31
q010,numeric,custom,cheap,True,cheap+grounded
q010,numeric,difficulty_baseline,strong,False,strong (difficulty=2.3)
q010,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q010,numeric,routellm,cheap,False,bert/win_rate=0.33
q011,numeric,custom,cheap,True,cheap+grounded
q011,numeric,difficulty_baseline,cheap,False,cheap (difficulty=1.3)
q011,numeric,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q011,numeric,routellm,cheap,False,bert/win_rate=0.28
q012,state_amendment,custom,cheap,True,cheap+grounded
q012,state_amendment,difficulty_baseline,cheap,False,cheap (difficulty=1.2)
q012,state_amendment,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q012,state_amendment,routellm,cheap,False,bert/win_rate=0.31
q013,state_amendment,custom,cheap,True,cheap+grounded
q013,state_amendment,difficulty_baseline,cheap,False,cheap (difficulty=1.7)
q013,state_amendment,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q013,state_amendment,routellm,cheap,False,bert/win_rate=0.13
q014,state_amendment,custom,cheap,True,cheap+grounded
q014,state_amendment,difficulty_baseline,cheap,False,cheap (difficulty=1.8)
q014,state_amendment,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q014,state_amendment,routellm,cheap,False,bert/win_rate=0.18
q015,jurisdiction_amendment,custom,cheap,True,cheap_local+grounded
q015,jurisdiction_amendment,difficulty_baseline,cheap,False,cheap (difficulty=1.9)
q015,jurisdiction_amendment,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q015,jurisdiction_amendment,routellm,cheap,False,bert/win_rate=0.21
q016,jurisdiction_amendment,custom,cheap,True,cheap_local+grounded
q016,jurisdiction_amendment,difficulty_baseline,strong,False,strong (difficulty=3.5)
q016,jurisdiction_amendment,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q016,jurisdiction_amendment,routellm,cheap,False,bert/win_rate=0.35
q017,definitional,custom,cheap,True,cheap+grounded
q017,definitional,difficulty_baseline,cheap,False,cheap (difficulty=1.3)
q017,definitional,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q017,definitional,routellm,cheap,False,bert/win_rate=0.25
q018,definitional,custom,cheap,True,cheap+grounded
q018,definitional,difficulty_baseline,cheap,False,cheap (difficulty=1.0)
q018,definitional,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q018,definitional,routellm,cheap,False,bert/win_rate=0.37
q019,definitional,custom,cheap,True,cheap+grounded
q019,definitional,difficulty_baseline,cheap,False,cheap (difficulty=1.1)
q019,definitional,notdiamond,ERROR,,NotDiamondError: The api_key client option must be set either by passing api_key to the client or by
q019,definitional,routellm,cheap,False,bert/win_rate=0.20
q020,definitional,custom,cheap,True,cheap+grounded
q020,definitional,difficulty_baseline,cheap,False,cheap (difficulty=0.7)
