prompt,anthropic/claude-sonnet-4-5/score,anthropic/claude-sonnet-4-5/response,anthropic/claude-haiku-4-5-20251001/score,anthropic/claude-haiku-4-5-20251001/response
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
n 903.3.1.1 or 903.3.1.2
where allowed.
1020.3 Width and Capacity
The required capacity of corridors shall be determined as specified in Section 1005.1, but the minimum width shall be not less than that
specified in Table 1020.3.
Exception: In Group I-2 occupancies, corridors are not required to have a clear width of 96 inches (2438 mm) in areas where there
will not be stretcher or bed movement for access to care or as part of the defend-in-place strategy.
TABLE 1020.3
MINIMUM CORRIDOR WIDTH
OCCUPANCY
MINIMUM WIDTH
(inches)
Any facilities not listed below
44
Access to and utilization of mechanical,
plumbing or electrical systems or equipment
24
With an occupant load of less than 50
36
Within a dwelling unit
36
In Group E with a corridor having an occupant
load of 100 or more
72
In corridors and areas serving stretcher
traffic in occupancies where patients
receive outpatient medical care that causes
the patient to be incapable of self-preservation
72
Group I-2 in areas where required for bed
movement
96
For SI: 1 inch = 25.4 mm.
1020.4 Obstruction
The minimum width or required capacity of corridors shall be unobstructed.
Exception: Encroachments complying with Section 1005.7.
1020.5 Dead Ends
a
b

Where more than one exit or exit access doorway is required, the exit access shall be arranged such that there are no dead ends in
corridors more than 20 feet (6096 mm) in length.
Exceptions:
1. In occupancies in Group I-3 of Condition 2, 3 or 4, the dead end in a corridor shall not exceed 50 feet (15 240 mm).
2. In occupa

QUESTION: What section of the 2023 Florida Building Code, Building, governs the width and capacity of corridors used as a means of egress?",1.0,"According to the excerpt provided, **Section 1020.3** governs the width and capacity of corridors used as a means of egress.",1.0,Section 1020.3 governs the width and capacity of corridors used as a means of egress.
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
of Sections 1003.3.1 through 1003.3.4.
1003.3.1 Headroom
Protruding objects are permitted to extend below the minimum ceiling height required by Section 1003.2 where a minimum headroom
of 80 inches (2032 mm) is provided over any walking surface, including walks, corridors, aisles and passageways. Not more than 50
percent of the ceiling area of a means of egress shall be reduced in height by protruding objects.
Exception: Door closers, overhead door stops, frame stops, power door operators and electromagnetic door locks shall be
permitted to project into the opening height not lower than 78 inches (1981 mm).
A barrier shall be provided where the vertical clearance is less than 80 inches (2032 mm) high. The leading edge of such a barrier
shall be located 27 inches (686 mm) maximum above the floor.
1003.3.2 Post-Mounted Objects
A free-standing object mounted on a post or pylon shall not overhang that post or pylon more than 4 inches (102 mm) where the
lowest point of the leading edge is more than 27 inches (686 mm) and less than 80 inches (2032 mm) above the walking surface.
Where a sign or other obstruction is mounted between posts or pylons and the clear distance between the posts or pylons is greater
than 12 inches (305 mm), the lowest edge of such sign or obstruction shall be 27 inches (686 mm) maximum or 80 inches (

QUESTION: What is the minimum headroom clearance required over a walking surface in the means of egress?",1.0,"According to **Section 1003.3.1 Headroom**, a minimum headroom of **80 inches (2032 mm)** is required over any walking surface, including walks, corridors, aisles and passageways.",1.0,"According to Section 1003.3.1, the minimum headroom required over any walking surface, including walks, corridors, aisles and passageways, is **80 inches (2032 mm)**."
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
exits
in accordance with this section.
1006.2.1 Egress Based on Occupant Load and Common Path of Egress Travel Distance
Two exits or exit access doorways from any space shall be provided where the design occupant load or the common path of egress
travel distance exceeds the values listed in Table 1006.2.1. The cumulative occupant load from adjacent rooms, areas or spaces shall
be determined in accordance with Section 1004.2.
Exceptions:
1. The number of exits from foyers, lobbies, vestibules or similar spaces need not be based on cumulative occupant loads for
areas discharging through such spaces, but the capacity of the exits from such spaces shall be based on applicable
cumulative occupant loads.
2. Care suites in Group I-2 occupancies complying with Section 407.4.
3. Unoccupied mechanical rooms and penthouses are not required to comply with the common path of egress travel distance
measurement.
TABLE 1006.2.1
SPACES WITH ONE EXIT OR EXIT ACCESS DOORWAY
OCCUPANCY
MAXIMUM OCCUPANT
LOAD OF SPACE
MAXIMUM COMMON PATH OF EGRESS TRAVEL DISTANCE (feet)
Without Sprinkler System
(feet)
With Sprinkler System
(feet)
Occupant Load
OL ≤ 30
OL > 30
A , E, M
49
75
75
75
B
49
100
75
100
F
49
75
75
100
H-1, H-2, H-3
3
NP
NP
25
H-4, H-5
10
NP
NP
75
I-1, I-2 , I-4
10
NP
NP
75
I-3
10
NP
NP
100
R-1
10
NP
NP
75
R-2
49
NP
NP
125
R-3
49
NP
NP
125
R-4
20
75
75
125
S
29
100
75
100
U
49
100
75
75
For SI: 1 foot = 304.8 mm.
NP = Not Permitted.
c
a
a
a
b
b
d
a
a
a
a
e
a
e
a
f
a
a

a. Buildings equipped throughout with an automatic sprinkler system in accordance with Section 903.3.1.1 or 903.3.1.2.
See Section 903 for occupancies where automatic sprinkler systems are permitted in accordance with Section
903.3.1.2.
b. Group H occupancies equipped throughout with an automatic sprinkler system in accordance with Section 903.2.5.
c. For a

QUESTION: Under what conditions does Section 1006.2.1 of the Florida Building Code, Building, require two exits or exit access doorways from a single space?",1.0,"According to Section 1006.2.1, two exits or exit access doorways from any space shall be provided where **either**:

1. **The design occupant load exceeds the values listed in Table 1006.2.1**, OR
2. **The common path of egress travel distance exceeds the values listed in Table 1006.2.1**

The specific threshold values vary based on occupancy classification and whether the building is equipped with an automatic sprinkler system, as detailed in Table 1006.2.1.

**Citation: Section 1006.2.1 Egress Based on Occupant Load and Common Path of Egress Travel Distance**",1.0,"According to Section 1006.2.1, two exits or exit access doorways from any space shall be provided where **the design occupant load or the common path of egress travel distance exceeds the values listed in Table 1006.2.1**."
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
exit discharge is
open to the outdoors.
1005.3.2 Other Egress Components
The capacity, in inches, of means of egress components other than stairways shall be calculated by multiplying the occupant load
served by such component by a means of egress capacity factor of 0.2 inch (5.1 mm) per occupant.
Exceptions:
1. For other than Group H and I-2 occupancies, the capacity, in inches, of means of egress components other than stairways
shall be calculated by multiplying the occupant load served by such component by a means of egress capacity factor of 0.15
inch (3.8 mm) per occupant in buildings equipped throughout with an automatic sprinkler system installed in accordance with
Section 903.3.1.1 or 903.3.1.2 and an emergency voice/alarm communication system in accordance with Section 907.5.2.2.
2. Facilities with smoke-protected assembly seating shall be permitted to use the capacity factors in Table 1029.6.2 indicated for
level or ramped aisles for means of egress components other than stairways where the entire path for means of egress from
the seating to the exit discharge is provided with a smoke control system complying with Section 909.

3. Facilities with open-air assembly seating shall be permitted to the capacity factors in Section 1029.6.3 indicated for level or
ramped aisles for means of egress components other th

QUESTION: What is the means-of-egress capacity factor per occupant for components other than stairways in sprinklered buildings with an emergency voice/alarm communication system, per the 2023 FBC?",1.0,"According to Section 1005.3.2, Exception 1, the means of egress capacity factor is **0.15 inch (3.8 mm) per occupant** for components other than stairways in buildings equipped throughout with an automatic sprinkler system installed in accordance with Section 903.3.1.1 or 903.3.1.2 and an emergency voice/alarm communication system in accordance with Section 907.5.2.2.

Note: This exception does not apply to Group H and I-2 occupancies.",1.0,"# Answer

According to Section 1005.3.2, Exception 1, the means of egress capacity factor for components other than stairways in sprinklered buildings equipped with an emergency voice/alarm communication system is **0.15 inch (3.8 mm) per occupant** (for occupancies other than Group H and I-2)."
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
determined
in accordance with Sections 1005.3.1 and 1005.3.2:
1005.3.1 Stairways
The capacity, in inches, of means of egress stairways shall be calculated by multiplying the occupant load served by such stairways
by a means of egress capacity factor of 0.3 inch (7.6 mm) per occupant. Where stairways serve more than one story, only the
occupant load of each story considered individually shall be used in calculating the required capacity of the stairways serving that
story.
Exceptions:
1. For other than Group H and I-2 occupancies, the capacity, in inches, of means of egress stairways shall be calculated by
multiplying the occupant load served by such stairways by a means of egress capacity factor of 0.2 inch (5.1 mm) per
occupant in buildings equipped throughout with an automatic sprinkler system installed in accordance with Section 903.3.1.1
or 903.3.1.2 and an emergency voice/alarm communication system in accordance with Section 907.5.2.2.
2. Facilities with smoke-protected assembly seating shall be permitted to use the capacity factors in Table 1029.6.2 indicated for
stepped aisles for exit access or exit stairways where the entire path for means of egress from the seating to the exit
discharge is provided with a smoke control system complying with Section 909.
3. Facilities with open-air assembly seating shall be p

QUESTION: What is the means-of-egress capacity factor per occupant for stairways in sprinklered buildings with an emergency voice/alarm communication system, per the 2023 FBC?",1.0,"According to **Section 1005.3.1, Exception 1**, the means of egress capacity factor for stairways in buildings (other than Group H and I-2 occupancies) equipped throughout with an automatic sprinkler system installed in accordance with Section 903.3.1.1 or 903.3.1.2 **and** an emergency voice/alarm communication system in accordance with Section 907.5.2.2 is **0.2 inch (5.1 mm) per occupant**.",1.0,"# Answer

According to Section 1005.3.1, Exception 1, the means of egress capacity factor for stairways in sprinklered buildings with an emergency voice/alarm communication system is **0.2 inch (5.1 mm) per occupant** for occupancies other than Group H and I-2."
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
Loads
RESERVED
Section 1609 Wind Loads
1609.1 Applications
Buildings, structures and parts thereof shall be designed to withstand the minimum wind loads prescribed herein. Decreases in wind loads shall not be made for the effect of shielding by
other structures. All exterior wall coverings and soffits shall be capable of resisting the design pressures specified for walls for components and cladding loads in accordance with Section
1609.1.1. Manufactured soffits shall be labeled in accordance with Section 1709.10 of this code.
1609.1.1 Determination of Wind Loads
Wind loads on every building or structure shall be determined in accordance with Chapters 26 to 30 of ASCE 7. Wind shall be assumed to come from any horizontal direction and wind
pressures shall be assumed to act normal to the surface considered.
Exceptions:
1. Subject to the limitations of Section 1609.1.1.1, the provisions of ICC 600 shall be permitted for applicable Group R-2 and R-3 buildings.
2. Subject to the limitations of Section 1609.1.1.1, residential structures using the provisions of AWC WFCM.
3. Subject to the limitations of Section 1609.1.1.1, residential structures using the provisions of AISI S230.
4. Designs using NAAMM FP 1001, Guide Specifications for Design of Metal Flagpoles.
5. Designs using TIA-222 for antenna-supporting structures and antennas. Design using this standard shall be permitted for communication tower and steel antenna sup

QUESTION: What section of the 2023 Florida Building Code, Building, governs wind loads, and which standard does it reference for detailed calculation?",0.0,"Based on the excerpt provided:

**Section 1609.1.1** governs the determination of wind loads.

According to Section 1609.1.1: ""Wind loads on every building or structure shall be determined in accordance with **Chapters 26 to 30 of ASCE 7**.""",0.0,"# Answer

**Section 1609** governs wind loads in the building code excerpt provided.

**Section 1609.1.1** references **Chapters 26 to 30 of ASCE 7** as the standard for detailed wind load calculation. The section states: ""Wind loads on every building or structure shall be determined in accordance with Chapters 26 to 30 of ASCE 7."""
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
REGION.
WIND SPEED, V
.
WIND SPEED, V
.
1609.3 Ultimate Design Wind Speed
The ultimate design wind speed, V
, in mph, for the determination of the wind loads shall be determined by Figures 1609.3(1), 1609.3(2), 1609.3(3) and 1609.3(4). The ultimate design
wind speed, V
, for use in the design of Risk Category II buildings and structures shall be obtained from Figure 1609.3(1). The ultimate design wind speed, V
, for use in the design of
Risk Category III buildings and structures shall be obtained from Figure 1609.3(2). The ultimate design wind speed, V
, for use in the design of Risk Category IV buildings and structures
shall be obtained from Figure 1609.3(3). The ultimate design wind speed, V
, for use in the design of Risk Category I buildings and structures shall be obtained from Figure 1609.3(4).
The ultimate design wind speed, V
, for the special wind regions indicated near mountainous terrain and near gorges shall be in accordance with local jurisdiction requirements. The
ultimate design wind speeds, V
, determined by the local jurisdiction shall be in accordance with Chapter 26 of ASCE 7. The exact location of wind speed lines shall be established by
local ordinance using recognized physical landmarks such as major roads, canals, rivers and lake shores wherever possible.
FIGURE 1609.3(1)
ULTIMATE DESIGN WIND SPEEDS, V
, FOR RISK CATEGORY II BUILDINGS AND OTHER STRUCTURES
ult
asd
ult
ult
ult
ult
ult
ult
ult
ULT

FIGURE 1609.3(2)
ULTIMATE DESIGN WIND SPEEDS, V
, FOR RISK CATEGORY III BUILDINGS AND OTHER STRUCTURES
FIGURE 1609.3(3)
ULTIMATE DESIGN WIND SPEEDS, V
, FOR RISK CATEGORY IV BUILDINGS AND OTHER STRU

QUESTION: How is the ultimate design wind speed (Vult) for Risk Category II buildings determined under the 2023 Florida Building Code, Building?",1.0,"According to Section 1609.3 Ultimate Design Wind Speed:

""The ultimate design wind speed, Vult, for use in the design of Risk Category II buildings and structures shall be obtained from Figure 1609.3(1).""

**Citation: Section 1609.3**",1.0,"According to **Section 1609.3**, the ultimate design wind speed (V_ult) for Risk Category II buildings and structures shall be obtained from **Figure 1609.3(1)**."
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
es of the wind-load-resistance testing.
1609.2 Definitions
For the purposes of Section 1609 and as used elsewhere in this code, the following terms are defined in Chapter 2.
HURRICANE-PRONE REGIONS.
WIND-BORNE DEBRIS REGION.
WIND SPEED, V
.
WIND SPEED, V
.
1609.3 Ultimate Design Wind Speed
The ultimate design wind speed, V
, in mph, for the determination of the wind loads shall be determined by Figures 1609.3(1), 1609.3(2), 1609.3(3) and 1609.3(4). The ultimate design
wind speed, V
, for use in the design of Risk Category II buildings and structures shall be obtained from Figure 1609.3(1). The ultimate design wind speed, V
, for use in the design of
Risk Category III buildings and structures shall be obtained from Figure 1609.3(2). The ultimate design wind speed, V
, for use in the design of Risk Category IV buildings and structures
shall be obtained from Figure 1609.3(3). The ultimate design wind speed, V
, for use in the design of Risk Category I buildings and structures shall be obtained from Figure 1609.3(4).
The ultimate design wind speed, V
, for the special wind regions indicated near mountainous terrain and near gorges shall be in accordance with local jurisdiction requirements. The
ultimate design wind speeds, V
, determined by the local jurisdiction shall be in accordance with Chapter 26 of ASCE 7. The exact location of wind speed lines shall be established by
local ordinance using recognized physical landm

QUESTION: Under the 2023 FBC, on which figure is the wind-borne debris region based for Risk Category II buildings?",0.0,"Based on the excerpt provided, I cannot answer this question. 

While Section 1609.3 specifies that the ultimate design wind speed V for Risk Category II buildings shall be obtained from Figure 1609.3(1), the excerpt does not indicate which figure shows the wind-borne debris region for Risk Category II buildings. The excerpt only addresses ultimate design wind speeds, not wind-borne debris regions.",0.0,"I cannot answer this question using only the building-code excerpt provided. The excerpt does not specify which figure contains wind-borne debris region information for Risk Category II buildings. While Section 1609.3 directs readers to Figure 1609.3(1) for Risk Category II buildings' ultimate design wind speed, the excerpt does not clarify whether wind-borne debris region data is shown on that same figure or a different one."
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
Section 1609 for wind loads and Section 1610 for lateral soil
loads.
1604.5 Risk Category
Each building and structure shall be assigned a risk category in accordance with Table 1604.5. Where a referenced standard specifies an occupancy category, the risk category shall not
be taken as lower than the occupancy category specified therein. Where a referenced standard specifies that the assignment of a risk category be in accordance with ASCE 7, Table 1.5-1,
Table 1604.5 shall be used in lieu of ASCE 7, Table 1.5-1.
TABLE 1604.5
RISK CATEGORY OF BUILDINGS AND OTHER STRUCTURES
RISK
CATEGORY
NATURE OF OCCUPANCY
I
Buildings and other structures that represent a low hazard to human life in the event of failure, including but not limited to:
Agricultural facilities.
Certain temporary facilities.
Minor storage facilities.
Screen enclosures.
II
Buildings and other structures except those listed in Risk Categories I, III and IV.
III
Buildings and other structures that represent a substantial hazard to human life in the event of failure, including but not limited to:
Buildings and other structures whose primary occupancy is public assembly with an occupant load greater than 300.

Buildings and other structures containing one or more public assembly spaces each having an occupant load greater than 300 and a cumulative occupant load
of these public assembly spaces of greater than 2,500.
Buildings and other structures containing Group E or Group I-4 occupancies or combination thereof, with an occupant load greater than 250.
Buildings and other structures containing educational occupancies for students above the 12th grade with a

QUESTION: What Florida Building Code section governs foundation walls and retaining wall design for lateral soil loads, and where are the minimum design soil loads found?",0.0,"Based on the excerpt provided, **Section 1610** governs lateral soil loads for foundation walls and retaining wall design.

However, the excerpt does not contain information about where the minimum design soil loads are found. The excerpt only references that Section 1610 covers lateral soil loads but does not provide the actual content of that section or specify where minimum design soil loads would be located.",0.0,"I cannot answer this question using only the provided building-code excerpt. The excerpt addresses wind loads (Section 1609) and lateral soil loads (Section 1610) only in passing, and does not contain information about which section governs foundation walls and retaining wall design, nor does it specify where minimum design soil loads are found.

To answer your question accurately, I would need access to the relevant sections of the Florida Building Code (specifically Section 1610 and related foundation/soil load provisions) beyond what is provided in this excerpt."
"Answer using ONLY the building-code excerpt below. Cite the section.

EXCERPT:
ection 1803 Geotechnical Investigations
1803.1 General
Geotechnical investigations shall be conducted in accordance with Section 1803.2 and reported in accordance with Section 1803.6.
Where required by the building official or where geotechnical investigations involve in-situ testing, laboratory testing or engineering
calculations, such investigations shall be conducted by a registered design professional.
1803.2 Investigations Required
Geotechnical investigations shall be conducted in accordance with Sections 1803.3 through 1803.5.
Exception: The building official shall be permitted to waive the requirement for a geotechnical investigation where satisfactory data
from adjacent areas is available that demonstrates an investigation is not necessary for any of the conditions in Sections 1803.5.1
through 1803.5.6 and Section 1803.5.10.
1803.3 Basis of Investigation
Soil classification shall be based on observation and any necessary tests of the materials disclosed by borings, test pits or other
subsurface exploration made in appropriate locations. Additional studies shall be made as necessary to evaluate slope stability, soil
strength, position and adequacy of load-bearing soils, the effect of moisture variation on soil-bearing capacity, compressibility,
liquefaction and expansiveness.
1803.3.1 Scope of Investigation
The scope of the geotechnical investigation including the number and types of borings or soundings, the

QUESTION: What section of the 2023 Florida Building Code, Building, governs geotechnical investigations for foundation design?",0.0,"According to the excerpt provided, **Section 1803** governs geotechnical investigations for foundation design. Specifically, Section 1803.1 General states that ""Geotechnical investigations shall be conducted in accordance with Section 1803.2 and reported in accordance with Section 1803.6.""",0.0,"Based on the excerpt provided, **Section 1803** governs geotechnical investigations. Specifically:

- **Section 1803.1** addresses general requirements for geotechnical investigations
- **Section 1803.2** specifies when investigations are required
- **Section 1803.3** establishes the basis of investigation

However, I cannot confirm this is from the ""2023 Florida Building Code, Building"" based solely on this excerpt, as the code source is not identified in the provided text."
