question_id,model_name,category,question,cited_section,gold_section_norm,output
q001,claude-opus-4-8,numeric,"What section of the 2023 Florida Building Code, Building, governs the width and capacity of corridors used as a means of egress?",10,1020.2,"I don't have reliable, specific knowledge of the exact section numbering in the 2023 Florida Building Code, Building, that governs corridor width and egress capacity, so I don't want to state a section number that might be incorrect.

That said, I can offer some helpful general guidance:

**Where to look**

- The Florida Building Code, Building (FBC-B) is based on the **International Building Code (IBC)**, so its numbering generally mirrors the IBC.
- In the IBC (and typically the FBC-B), **Chapter 10 – Means of Egress** is the relevant chapter.
- Within Chapter 10:
  - **Section 1005** typically covers **Means of Egress Sizing** (including egress capacity/width calculations based on occupant load).
  - **Section 1020** typically covers **Corridors** (including minimum corridor width and fire-resistance requirements).

So corridor-specific width requirements are usually in the **1020** range, while general egress capacity calculations (which apply to corridors) are in the **1005** range.

**Recommendation:** To confirm the exact section citations for the 2023 edition, consult the official code text directly. The Florida Building Code is available online through the **Florida Building Commission** / the code publisher (often accessible via UpCodes or the ICC Digital Codes library). I'd recommend verifying the specific section numbers there before relying on them for permitting, design, or compliance purposes."
q001,claude-opus-4-8,numeric,"What section of the 2023 Florida Building Code, Building, governs the width and capacity of corridors used as a means of egress?",10,1020.2,"I don't have reliable, specific knowledge of the exact section numbering in the 2023 Florida Building Code, Building, that governs corridor width and egress capacity, so I don't want to give you a citation that could be incorrect.

That said, I can offer some general guidance:

- The Florida Building Code, Building (FBC-B) is based on the **International Building Code (IBC)**, and Florida typically maintains the IBC's chapter and section structure.

- In the IBC, **means of egress** provisions are found in **Chapter 10**. Within that chapter:
  - **Corridors** are generally addressed in a section numbered around **Section 1020** (this shifted between editions—it was 1018 in older editions).
  - **Egress width/capacity** determinations (including the capacity factors per occupant) are addressed in **Section 1005 (Means of Egress Sizing)**.

So corridor **minimum width and capacity** would typically involve both:
- The general egress **capacity/width** provisions (around Section 1005), and
- The specific **corridor** provisions (around Section 1020).

**My recommendation:** Because section numbers can shift between code editions and Florida sometimes makes amendments, verify the exact citation directly in the official 2023 FBC-B, Chapter 10. You can access it through the **Florida Building Commission / Florida Building Code website** or via UpCodes or the ICC Digital Codes library.

Would you like me to explain the general egress width and capacity requirements themselves (e.g., minimum corridor widths and how capacity is calculated)?"
q001,claude-opus-4-8,numeric,"What section of the 2023 Florida Building Code, Building, governs the width and capacity of corridors used as a means of egress?",10,1020.2,"I don't have the specific section numbers of the 2023 Florida Building Code, Building memorized with enough confidence to give you a definitive citation.

That said, here's what I can tell you about how this is typically organized, which may help point you in the right direction:

- **Means of egress requirements** in the Florida Building Code, Building are generally found in **Chapter 10 (Means of Egress)**, which is based on the International Building Code (IBC).

- **Corridors** specifically tend to be addressed in a section commonly numbered around **Section 1020 (Corridors)** in IBC-based codes, which covers corridor width, capacity, continuity, and fire-resistance ratings.

- **Egress width and capacity** calculations more broadly are often covered in a section like **Section 1005 (Means of Egress Sizing)**.

However, I'd caution you against relying on my section numbers without verification, because:
1. Florida amends the IBC, so numbering and provisions can differ.
2. Section numbers can shift between code editions.

**To get an authoritative answer**, I'd recommend:
- Accessing the official code text through the **Florida Building Commission** or the **ICC Digital Codes** website (codes.iccsafe.org), where the 2023 Florida Building Code is published.
- Consulting a **licensed Florida architect or engineer**, or your local building department, especially if this is for permitting or compliance purposes.

Would you like me to explain the general concepts of corridor egress sizing so you know what to look for when you find the relevant section?"
q004,claude-opus-4-8,numeric,"What is the means-of-egress capacity factor per occupant for components other than stairways in sprinklered buildings with an emergency voice/alarm communication system, per the 2023 FBC?",903.3.1.1,1005.3.2,"Per the 2023 Florida Building Code, for means of egress components **other than stairways** (such as level components like doors, ramps, corridors, and horizontal exits), the capacity factor is:

**0.15 inches per occupant** (for other egress components, in buildings equipped throughout with an automatic sprinkler system and an approved emergency voice/alarm communication system).

This reduced factor is permitted under the provisions that allow the use of lower egress width factors when the building has both an automatic sprinkler system installed in accordance with Section 903.3.1.1 (or 903.3.1.2) **and** an emergency voice/alarm communication system in accordance with Section 907.5.2.2.

For comparison, the **stairway** capacity factor under these same conditions is **0.2 inches per occupant**.

Note: I'd recommend verifying against the specific edition text of Table 1005.3.1/1005.3.2 in the 2023 FBC, as exact section references and conditions should be confirmed directly in the code."
q006,claude-opus-4-8,numeric,"What section of the 2023 Florida Building Code, Building, governs wind loads, and which standard does it reference for detailed calculation?",16,1609,"In the 2023 Florida Building Code, Building (8th Edition), wind loads are governed by **Section 1609 (Wind Loads)** within **Chapter 16 (Structural Design)**.

For detailed calculation of wind loads, Section 1609 references **ASCE 7 (Minimum Design Loads and Associated Criteria for Buildings and Other Structures)**, specifically the **ASCE 7-22** edition, which is the standard referenced in the 2023 code cycle.

A few additional points worth noting:
- Section 1609 provides Florida-specific provisions, including ultimate design wind speed maps (Figures 1609.3, etc.) and requirements tied to high-velocity hurricane zones (HVHZ) and windborne debris regions.
- The code permits alternative methods, such as the wind provisions in the **ICC 600 (Standard for Residential Construction in High-Wind Regions)** or **AAMA/WDMA/CSA** standards for certain components, but ASCE 7 is the primary referenced standard for the analytical procedures.

If you're working on a specific project, I'd recommend verifying the exact edition and any local amendments, since Florida sometimes adopts modifications beyond the base code."
q006,claude-opus-4-8,numeric,"What section of the 2023 Florida Building Code, Building, governs wind loads, and which standard does it reference for detailed calculation?",1609.1.1,1609,"In the 2023 Florida Building Code, Building (8th Edition), wind loads are primarily governed by **Chapter 16 – Structural Design**, specifically **Section 1609 – Wind Loads**.

For detailed wind load calculations, Section 1609 references **ASCE 7 (Minimum Design Loads and Associated Criteria for Buildings and Other Structures)**. The 2023 FBC edition references **ASCE 7-22**.

A few additional points worth noting:

- **Section 1609.1.1** establishes ASCE 7 as the standard for determining wind loads, with certain exceptions (for example, alternative methods like the wind provisions of the ICC-600 Standard for Residential Construction in High-Wind Regions, or AWC's Wood Frame Construction Manual, may be permitted for specific applications).
- **Section 1609.3** addresses basic (ultimate) design wind speeds and includes wind speed maps applicable to Florida, which has some of the most stringent wind design requirements in the U.S. due to hurricane exposure.
- Florida also has special provisions for the **High-Velocity Hurricane Zone (HVHZ)**—which covers Miami-Dade and Broward counties—found in later sections of the code (e.g., the 1620 series and related HVHZ-specific chapters), which impose additional requirements beyond the base ASCE 7 provisions.

Because code editions and adopted standard versions can be updated, I'd recommend verifying the exact referenced ASCE 7 edition against the official published FBC text for your specific project, as this affects load calculations and compliance."
q006,claude-opus-4-8,numeric,"What section of the 2023 Florida Building Code, Building, governs wind loads, and which standard does it reference for detailed calculation?",1609.1.1,1609,"In the **2023 Florida Building Code, Building (8th Edition)**, wind loads are governed by:

## Chapter 16 – Structural Design

Specifically, **Section 1609 – Wind Loads** is the section that addresses wind load requirements.

## Referenced Standard

Section 1609 references **ASCE 7** (*Minimum Design Loads and Associated Criteria for Buildings and Other Structures*) for detailed wind load calculation methodology. The edition referenced by the 2023 Florida Building Code (which is based on the 2021 International Building Code) is **ASCE 7-22**.

## Key Points

- **Section 1609.1.1** directs the user to ASCE 7 for determining wind loads, with certain exceptions (such as the simplified provisions for specific building types).
- Florida includes important **state-specific amendments**, particularly for **High-Velocity Hurricane Zones (HVHZ)** — which cover **Miami-Dade and Broward counties** — where additional and more stringent requirements apply.
- The code also incorporates **wind speed maps** (Figures 1609.3) and provisions for **windborne debris regions** and **wind design regions**, which are critical given Florida's hurricane exposure.

## Practical Note

Because interpretation of these provisions—especially in HVHZ areas—can be complex, it's always advisable to verify against the **exact current adopted text** and any local amendments, as building codes are periodically updated and local jurisdictions may impose additional requirements."
q007,claude-opus-4-8,numeric,"How is the ultimate design wind speed (Vult) for Risk Category II buildings determined under the 2023 Florida Building Code, Building?",1609.3.1,1609.3,"# Ultimate Design Wind Speed (Vult) for Risk Category II Buildings — 2023 Florida Building Code

Under the **2023 Florida Building Code, Building (8th Edition)**, the ultimate design wind speed (Vult) is determined as follows:

## Primary Method — Wind Speed Maps

The basic (ultimate) design wind speed is obtained from the **wind speed maps** referenced in the code. For Risk Category II buildings specifically, this is found in:

- **Figure 1609.3(1)** of the Florida Building Code, Building, which provides the basic design wind speeds for **Risk Category II** buildings and structures.

These are **ultimate design wind speeds (Vult)** expressed as **3-second gust wind speeds** in miles per hour at 33 feet (10 m) above ground in **Exposure Category C**.

## Key Characteristics

- **Wind speeds are mapped values** specific to geographic location (Florida has detailed maps due to hurricane exposure, including contour lines and specific values for coastal and inland areas).
- The maps correspond to those in **ASCE 7-22** (the referenced standard in the 2023 FBC), which are risk-consistent, incorporating the appropriate reliability/probability of exceedance for each risk category.
- For Risk Category II, the maps are associated with an approximate **7% probability of exceedance in 50 years** (roughly a 700-year mean recurrence interval).

## Relationship to Nominal (Service-Level) Speeds

If the nominal design wind speed (Vasd) is needed (for older/allowable stress design methods), it can be converted using:

$$V_{asd} = V_{ult}\sqrt{0.6}$$

as given in **Section 1609.3.1**.

## Wind-Borne Debris Regions

Note that determination of wind-borne debris regions and other provisions also reference these wind speed values, which affects design requirements for openings, glazing protection, etc.

---

**Would you like me to clarify** the specific figure numbers for other risk categories, the conversion formulas, or how exposure categories affect the calculation? Also note that for precise application, you should consult the actual code text and adopted maps, as I want to flag that specific figure numbering can vary between editions."
q007,claude-opus-4-8,numeric,"How is the ultimate design wind speed (Vult) for Risk Category II buildings determined under the 2023 Florida Building Code, Building?",16,1609.3,"# Ultimate Design Wind Speed (Vult) for Risk Category II Buildings

Under the **2023 Florida Building Code, Building (8th Edition)**, the ultimate design wind speed for Risk Category II buildings is determined as follows:

## Primary Method: Wind Speed Maps

The **basic (ultimate) design wind speed, Vult**, is obtained from the wind speed maps referenced in the code. For Risk Category II structures, you use the map corresponding to that specific risk category.

Key points on how this is determined:

1. **Figure references** – The FBC references **ASCE 7-22** wind speed maps (adopted through Chapter 16, Structural Design). Risk Category II has its own dedicated map showing contour lines of wind speeds across geographic areas.

2. **Location-based** – The value is found by locating your specific building site on the applicable map and reading the wind speed contour (in miles per hour). Florida has some of the highest values in the nation, particularly in:
   - **High-Velocity Hurricane Zones (HVHZ)** – Miami-Dade and Broward counties
   - **Coastal areas** subject to hurricane exposure

3. **Interpolation** – For sites located between contour lines, linear interpolation is permitted.

4. **Special wind regions** – Certain areas may require additional analysis, and local jurisdictions may establish site-specific wind speeds where mountainous terrain, gorges, or other special conditions exist.

## Additional Considerations

- **Risk Category** is established per **FBC Table 1604.5** based on the nature of occupancy (Category II covers buildings not falling into Categories I, III, or IV—essentially most standard buildings).
- The maps provide **strength design (ultimate)** wind speeds, associated with specific mean recurrence intervals (for Risk Category II, this corresponds to approximately a **700-year** return period / 7% probability of exceedance in 50 years).

## Verification Recommendation

Because wind provisions are heavily amended in Florida (especially for HVHZ), you should:
- Confirm the **exact figure/map number** in the current adopted edition
- Check for **local amendments** in your jurisdiction

Would you like details on a specific location, the HVHZ requirements, or how Vult is applied in subsequent design calculations?"
q009,claude-opus-4-8,numeric,"What Florida Building Code section governs foundation walls and retaining wall design for lateral soil loads, and where are the minimum design soil loads found?",18,1610,"I don't have reliable, section-specific citations memorized for the Florida Building Code that I can guarantee are accurate. Rather than risk giving you an incorrect section number—which matters a lot for code compliance—let me point you in a useful direction.

## General guidance (based on how the code is typically structured)

The Florida Building Code (FBC) is based on the International Code family, so the structure is usually similar:

- **Foundation walls and retaining walls** are generally addressed in **Chapter 18 (Soils and Foundations)** of the **FBC – Building**, and in the **residential context, Chapter 4 (Foundations) of the FBC – Residential**.
- **Minimum lateral soil load (design lateral soil load) tables** are commonly found within that same foundations chapter—in the IBC/IRC lineage this is often a table titled something like ""Design Lateral Soil Load,"" organized by soil classification (e.g., well-graded gravel, sandy silt, clay, etc.).

## Why I'm hedging

Section numbers and table numbers **do change between code editions** (e.g., 7th Edition (2020) vs. 8th Edition (2023)), and Florida sometimes renumbers or amends provisions relative to the base IBC/IRC. Giving you a specific number I'm not certain of could send you to the wrong place.

## How to confirm the exact citation

1. **Florida Building Code online (free):** The FBC is published at **codes.iccsafe.org** (search ""Florida Building Code""). You can search the term *""design lateral soil load""* directly.
2. **Verify which edition applies** to your project (the current adopted edition and effective date).
3. Look in the **Soils and Foundations** chapter for the retaining/foundation wall provisions and the associated soil load table.

If you tell me which **FBC edition and which volume** (Building vs. Residential) you're working with, I can try to help you reason through the structure more specifically—but please verify any section numbers against the official published code before relying on them."
